Well;Well Position;Omit;Sample Name;Target Name;Task;Reporter;Quencher;Quantity;Quantity Mean;Quantity SD;RQ;RQ Min;RQ Max;CT;Ct Mean;Ct SD
1;A1;FALSCH;Untreated rep3;GAPDH;UNKNOWN;FAM;NFQ-MGB;;;;;;;26,234;26,121;0,160
2;A2;FALSCH;Untreated rep3;GAPDH;UNKNOWN;FAM;NFQ-MGB;;;;;;;26,007;26,121;0,160
3;A3;FALSCH;AngII rep3;GAPDH;UNKNOWN;FAM;NFQ-MGB;;;;;;;25,752;25,776;0,033
4;A4;FALSCH;AngII rep3;GAPDH;UNKNOWN;FAM;NFQ-MGB;;;;;;;25,799;25,776;0,033
5;A5;FALSCH;AngII + mol-54 rep3;GAPDH;UNKNOWN;FAM;NFQ-MGB;;;;;;;25,821;25,801;0,029
6;A6;FALSCH;AngII + mol-54 rep3;GAPDH;UNKNOWN;FAM;NFQ-MGB;;;;;;;25,781;25,801;0,029
7;A7;FALSCH;Untreated rep4;GAPDH;UNKNOWN;FAM;NFQ-MGB;;;;;;;25,808;25,875;0,095
8;A8;FALSCH;Untreated rep4;GAPDH;UNKNOWN;FAM;NFQ-MGB;;;;;;;25,942;25,875;0,095
9;A9;FALSCH;AngII rep4;GAPDH;UNKNOWN;FAM;NFQ-MGB;;;;;;;26,090;26,234;0,203
10;A10;FALSCH;AngII rep4;GAPDH;UNKNOWN;FAM;NFQ-MGB;;;;;;;26,378;26,234;0,203
11;A11;FALSCH;AngII + mol-54 rep4;GAPDH;UNKNOWN;FAM;NFQ-MGB;;;;;;;26,282;26,164;0,167
12;A12;FALSCH;AngII + mol-54 rep4;GAPDH;UNKNOWN;FAM;NFQ-MGB;;;;;;;26,046;26,164;0,167
13;B1;FALSCH;Untreated rep3;CYP11B2;UNKNOWN;FAM;NFQ-MGB;;;;;;;31,099;31,105;0,008
14;B2;FALSCH;Untreated rep3;CYP11B2;UNKNOWN;FAM;NFQ-MGB;;;;;;;31,110;31,105;0,008
15;B3;FALSCH;AngII rep3;CYP11B2;UNKNOWN;FAM;NFQ-MGB;;;;;;;25,061;25,130;0,098
16;B4;FALSCH;AngII rep3;CYP11B2;UNKNOWN;FAM;NFQ-MGB;;;;;;;25,200;25,130;0,098
17;B5;FALSCH;AngII + mol-54 rep3;CYP11B2;UNKNOWN;FAM;NFQ-MGB;;;;;;;25,843;25,985;0,201
19;B7;FALSCH;Untreated rep4;CYP11B2;UNKNOWN;FAM;NFQ-MGB;;;;;;;32,022;31,857;0,233
20;B8;FALSCH;Untreated rep4;CYP11B2;UNKNOWN;FAM;NFQ-MGB;;;;;;;31,692;31,857;0,233
21;B9;FALSCH;AngII rep4;CYP11B2;UNKNOWN;FAM;NFQ-MGB;;;;;;;25,845;25,812;0,046
22;B10;FALSCH;AngII rep4;CYP11B2;UNKNOWN;FAM;NFQ-MGB;;;;;;;25,780;25,812;0,046
23;B11;FALSCH;AngII + mol-54 rep4;CYP11B2;UNKNOWN;FAM;NFQ-MGB;;;;;;;26,672;26,825;0,217
24;B12;FALSCH;AngII + mol-54 rep4;CYP11B2;UNKNOWN;FAM;NFQ-MGB;;;;;;;26,979;26,825;0,217
30;C6;FALSCH;AngII + mol-54 rep3;CYP11B2;UNKNOWN;FAM;NFQ-MGB;;;;;;;26,128;25,985;0,201
37;D1;FALSCH;+ cum + mol-54;GAPDH;UNKNOWN;FAM;NFQ-MGB;;;;;;;26,130;26,213;0,118
38;D2;FALSCH;+ cum + mol-54;GAPDH;UNKNOWN;FAM;NFQ-MGB;;;;;;;26,296;26,213;0,118
39;D3;FALSCH;+ cum - mol-54;GAPDH;UNKNOWN;FAM;NFQ-MGB;;;;;;;26,099;26,120;0,030
40;D4;FALSCH;+ cum - mol-54;GAPDH;UNKNOWN;FAM;NFQ-MGB;;;;;;;26,141;26,120;0,030
41;D5;FALSCH;- cum + mol-54;GAPDH;UNKNOWN;FAM;NFQ-MGB;;;;;;;26,078;25,986;0,131
42;D6;FALSCH;- cum + mol-54;GAPDH;UNKNOWN;FAM;NFQ-MGB;;;;;;;25,893;25,986;0,131
49;E1;FALSCH;+ cum + mol-54;KCNJ5;UNKNOWN;FAM;NFQ-MGB;;;;;;;23,978;23,947;0,044
50;E2;FALSCH;+ cum + mol-54;KCNJ5;UNKNOWN;FAM;NFQ-MGB;;;;;;;23,916;23,947;0,044
51;E3;FALSCH;+ cum - mol-54;KCNJ5;UNKNOWN;FAM;NFQ-MGB;;;;;;;23,606;23,542;0,089
52;E4;FALSCH;+ cum - mol-54;KCNJ5;UNKNOWN;FAM;NFQ-MGB;;;;;;;23,479;23,542;0,089
53;E5;FALSCH;- cum + mol-54;KCNJ5;UNKNOWN;FAM;NFQ-MGB;;;;;;;23,968;23,994;0,037
54;E6;FALSCH;- cum + mol-54;KCNJ5;UNKNOWN;FAM;NFQ-MGB;;;;;;;24,020;23,994;0,037
61;F1;FALSCH;+ cum + mol-54;CYP11B2;UNKNOWN;FAM;NFQ-MGB;;;;;;;29,666;29,535;0,185
62;F2;FALSCH;+ cum + mol-54;CYP11B2;UNKNOWN;FAM;NFQ-MGB;;;;;;;29,405;29,535;0,185
63;F3;FALSCH;+ cum - mol-54;CYP11B2;UNKNOWN;FAM;NFQ-MGB;;;;;;;28,531;28,429;0,144
64;F4;FALSCH;+ cum - mol-54;CYP11B2;UNKNOWN;FAM;NFQ-MGB;;;;;;;28,327;28,429;0,144
65;F5;FALSCH;- cum + mol-54;CYP11B2;UNKNOWN;FAM;NFQ-MGB;;;;;;;28,853;28,970;0,165
66;F6;FALSCH;- cum + mol-54;CYP11B2;UNKNOWN;FAM;NFQ-MGB;;;;;;;29,086;28,970;0,165
94;H10;FALSCH;Water;GAPDH;UNKNOWN;FAM;NFQ-MGB;;;;;;;Undetermined;;
95;H11;FALSCH;Water;KCNJ5;UNKNOWN;FAM;NFQ-MGB;;;;;;;Undetermined;;
96;H12;FALSCH;Water;CYP11B2;UNKNOWN;FAM;NFQ-MGB;;;;;;;Undetermined;;