Well;Well Position;Omit;Sample Name;Target Name;Task;Reporter;Quencher;Quantity;Quantity Mean;Quantity SD;RQ;RQ Min;RQ Max;CT;Ct Mean;Ct SD;Delta Ct;Delta Ct Mean;Delta Ct SD;Delta Ct SE;Delta Delta Ct;Automatic Ct Threshold;Ct Threshold;Automatic Baseline;Baseline Start;Baseline End;Amp Status;Comments;Cq Conf
14;B2;FALSCH;L168R + cumate + mol-54;GAPDH;UNKNOWN;FAM;NFQ-MGB;;;;;;;26.079;26.220;199;;;;;;WAHR;342;WAHR;3;19;Amp;;916
15;B3;FALSCH;L168R + cumate + mol-54;GAPDH;UNKNOWN;FAM;NFQ-MGB;;;;;;;26.361;26.220;199;;;;;;WAHR;342;WAHR;3;19;Amp;;892
16;B4;FALSCH;L168R - cumate + mol-54;GAPDH;UNKNOWN;FAM;NFQ-MGB;;;;;;;26.728;26.624;148;;;;;;WAHR;342;WAHR;3;20;Amp;;941
17;B5;FALSCH;L168R - cumate + mol-54;GAPDH;UNKNOWN;FAM;NFQ-MGB;;;;;;;26.519;26.624;148;;;;;;WAHR;342;WAHR;3;19;Amp;;935
18;B6;FALSCH;L168R + cumate - mol-54;GAPDH;UNKNOWN;FAM;NFQ-MGB;;;;;;;26.647;26.754;151;;;;;;WAHR;342;WAHR;3;20;Amp;;936
19;B7;FALSCH;L168R + cumate - mol-54;GAPDH;UNKNOWN;FAM;NFQ-MGB;;;;;;;26.861;26.754;151;;;;;;WAHR;342;WAHR;3;20;Amp;;924
26;C2;FALSCH;L168R + cumate + mol-54;CYP11B2;UNKNOWN;FAM;NFQ-MGB;;;;1.000;529;1.891;29.575;29.735;227;;3.515;302;214;0;WAHR;246;WAHR;3;24;Amp;;960
27;C3;FALSCH;L168R + cumate + mol-54;CYP11B2;UNKNOWN;FAM;NFQ-MGB;;;;1.000;529;1.891;29.896;29.735;227;;3.515;302;214;0;WAHR;246;WAHR;3;24;Amp;;940
28;C4;FALSCH;L168R - cumate + mol-54;CYP11B2;UNKNOWN;FAM;NFQ-MGB;;;;1.109;807;1.524;30.012;29.990;31;;3.366;151;107;-149;WAHR;246;WAHR;3;24;Amp;;927
29;C5;FALSCH;L168R - cumate + mol-54;CYP11B2;UNKNOWN;FAM;NFQ-MGB;;;;1.109;807;1.524;29.968;29.990;31;;3.366;151;107;-149;WAHR;246;WAHR;3;24;Amp;;938
30;C6;FALSCH;L168R + cumate - mol-54;CYP11B2;UNKNOWN;FAM;NFQ-MGB;;;;1.575;1.032;2.404;29.707;29.614;131;;2.860;200;142;-655;WAHR;246;WAHR;3;24;Amp;;960
31;C7;FALSCH;L168R + cumate - mol-54;CYP11B2;UNKNOWN;FAM;NFQ-MGB;;;;1.575;1.032;2.404;29.521;29.614;131;;2.860;200;142;-655;WAHR;246;WAHR;3;24;Amp;;939
82;G10;FALSCH;Water;GAPDH;NTC;FAM;NFQ-MGB;;;;;;;Undetermined;;;;;;;;WAHR;342;WAHR;3;39;No Amp;;0
83;G11;FALSCH;Water;CYP11B2;NTC;FAM;NFQ-MGB;;;;;;;Undetermined;;;;;;;;WAHR;246;WAHR;3;39;No Amp;;0